Lista;Circoscrizione;Numero Candidato;Candidato
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;2;ARNONE GIUSEPPE 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;3;CERRI MATTEO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;4;CODORO MASSIMILIANO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;5;DARE' MARIA IN BIANCOLIN
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;6;GUALANDRIS STEFANO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;7;PIGNATARO CARMELO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;8;ZACCARINI VINCENZO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;9;ZEHENTNER ALESSANDRO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;10;ZORATTO MARIO 
LIBERI E UGUALI;AFRICA ASIA OCEANIA ANTARTIDE;1;CIRIGLIANO CONCETTA IN PERNA
LIBERI E UGUALI;AFRICA ASIA OCEANIA ANTARTIDE;2;AMATULLI ANTONIO DETTO TONY
LIBERI E UGUALI;AMERICA MERIDIONALE;1;FANGANIELLO MAIEROVITCH WALTER 
LIBERI E UGUALI;AMERICA MERIDIONALE;2;NARDUCCI FILOMENA ANTONIETTA 
LIBERI E UGUALI;AMERICA MERIDIONALE;3;RIZZO MONICA PATRICIA 
LIBERI E UGUALI;AMERICA MERIDIONALE;4;MIRETTI CESAR HUGO 
LIBERI E UGUALI;AMERICA MERIDIONALE;5;LORETI DAMIAN MIGUEL 
LIBERI E UGUALI;AMERICA SETTENTRIONALE E CENTRALE;1;CONTINIELLO GIUSEPPE MARIA MICHELE 
LIBERI E UGUALI;AMERICA SETTENTRIONALE E CENTRALE;2;ROI PIERLUIGI 
LIBERI E UGUALI;EUROPA;1;PRESTIANNI SARA 
LIBERI E UGUALI;EUROPA;2;GIUFFRIDA FILIPPO 
LIBERI E UGUALI;EUROPA;3;MARIOTTI CHIARA 
LIBERI E UGUALI;EUROPA;4;BURZI GIANNI 
LIBERI E UGUALI;EUROPA;5;RESTIVO GAETANA 
LIBERI E UGUALI;EUROPA;6;D'AMICO SOGGETTI GABRIELE 
LIBERI E UGUALI;EUROPA;7;SANTORO CLAUDIA 
LIBERI E UGUALI;EUROPA;8;DI BENEDETTO GIUSEPPE 
LIBERI E UGUALI;EUROPA;9;MOTTA VALERIO ALEX REMIGIO 
LIBERI E UGUALI;EUROPA;10;NAPPA MAURIZIO 
MAIE;AMERICA MERIDIONALE;1;BORGHESE MARIO ALEJANDRO 
MAIE;AMERICA MERIDIONALE;2;PETRUZZIELLO WALTER ANTONIO 
MAIE;AMERICA MERIDIONALE;3;COLLEVECCHIO NELLO 
MAIE;AMERICA MERIDIONALE;4;LAMORTE MARIA DEL ROSARIO 
MAIE;AMERICA MERIDIONALE;5;LASPRO ANTONIO 
MAIE;AMERICA MERIDIONALE;6;GAZZOLA MARIANO RAFAEL 
MAIE;AMERICA MERIDIONALE;7;TIRELLI FRANCO 
MAIE;AMERICA MERIDIONALE;8;MOLOSSI LUIS 
MAIE;AMERICA SETTENTRIONALE E CENTRALE;1;VIRO ANGELO CARMELO 
MAIE;AMERICA SETTENTRIONALE E CENTRALE;2;GIORDANO GIOVANNA 
MAIE;AMERICA SETTENTRIONALE E CENTRALE;3;FERRIGNO SALVATORE 
MAIE;AMERICA SETTENTRIONALE E CENTRALE;4;METALLI LEONARDO 
MOVIMENTO 5 STELLE;AFRICA ASIA OCEANIA ANTARTIDE;1;CASTELLACCIO ADELE 
MOVIMENTO 5 STELLE;AFRICA ASIA OCEANIA ANTARTIDE;2;CATANIA DARIO 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;1;MAINENTI IVANA 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;2;IURETIGH ROBERTO 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;3;BARRACU CLAUDIO 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;4;GRASSI GIORGIO 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;5;L'ABBATE NICOLA 
MOVIMENTO 5 STELLE;AMERICA MERIDIONALE;6;BARASSI ANDREA DANIELE 
MOVIMENTO 5 STELLE;AMERICA SETTENTRIONALE E CENTRALE;1;MAZZILLI EMANUEL 
MOVIMENTO 5 STELLE;AMERICA SETTENTRIONALE E CENTRALE;2;DITTA FRANCESCO 
MOVIMENTO 5 STELLE;AMERICA SETTENTRIONALE E CENTRALE;3;CALA' LESINA ANTONINO 
MOVIMENTO 5 STELLE;EUROPA;1;CITTADINI FERRUCCIO 
MOVIMENTO 5 STELLE;EUROPA;2;ROMANO MARCO 
MOVIMENTO 5 STELLE;EUROPA;3;SIRAGUSA ELISA 
MOVIMENTO 5 STELLE;EUROPA;4;GHIZZO ELENA 
MOVIMENTO 5 STELLE;EUROPA;5;BACCIU NICOLA 
MOVIMENTO 5 STELLE;EUROPA;6;AMADEI FEDERICO 
MOVIMENTO 5 STELLE;EUROPA;7;CIANCONE DOMENICO 
MOVIMENTO 5 STELLE;EUROPA;8;MARGARI PAOLO 
MOVIMENTO 5 STELLE;EUROPA;9;GUARIGLIA DANIEL 
MOVIMENTO DELLE LIBERTA';EUROPA;1;ROMAGNOLI MASSIMO 
MOVIMENTO DELLE LIBERTA';EUROPA;2;VIRZI' CALOGERO 
MOVIMENTO DELLE LIBERTA';EUROPA;3;LETIZIA SALVATORE DETTO IL TOTO'
MOVIMENTO DELLE LIBERTA';EUROPA;4;BRESCIANI MARINA 
MOVIMENTO DELLE LIBERTA';EUROPA;5;DE FILIPPO RICCARDO 
MOVIMENTO DELLE LIBERTA';EUROPA;6;TANGA GERARDO 
MOVIMENTO DELLE LIBERTA';EUROPA;7;CICCOCELLI MARIO 
MOVIMENTO DELLE LIBERTA';EUROPA;8;AGOSTINI ALESSANDRA IN KLOTZ
MOVIMENTO DELLE LIBERTA';EUROPA;9;ALBANO NICOLETTA 
MOVIMENTO DELLE LIBERTA';EUROPA;10;DI PIETRANTONIO ADRIANO DETTO VISCONTI
NOI CON L'ITALIA - UDC;EUROPA;1;CARUSO MARIO 
NOI CON L'ITALIA - UDC;EUROPA;2;BASILE ANTONINO 
