Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
PARTITO DEMOCRATICO;BASILICATA;BASILICATA - 01;3;SCAROLA GIOVANNI 
PARTITO DEMOCRATICO;BASILICATA;BASILICATA - 01;4;DE FINO LUCIANA 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 01;1;BRUNO BOSSIO VINCENZA 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 01;2;OLIVERIO NICODEMO NAZZARENO 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 01;3;FUNARO MARIA PIA 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 01;4;VALENTE MARIO 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 02;1;VISCOMI ANTONIO 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 02;2;MADIA MARIA ANNA 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 02;3;ALECCI ERNESTO FRANCESCO 
PARTITO DEMOCRATICO;CALABRIA;CALABRIA - 02;4;VELTRI GIULIA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 01;1;MIGLIORE GENNARO 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 01;2;TARTAGLIONE ASSUNTA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 01;3;SOLLO PASQUALE 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 01;4;MAISTO DANIELA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 02;1;SIANI PAOLO 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 02;2;COVELLO STEFANIA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 02;3;PALLADINO GIOVANNI 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 02;4;GRASSIA IDA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 03;1;TOPO RAFFAELE 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 03;2;TARTAGLIONE ASSUNTA 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 03;3;DI MARZIO EMILIO 
PARTITO DEMOCRATICO;CAMPANIA 1;CAMPANIA 1 - 03;4;GORGA CLELIA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 01;1;DEL BASSO DE CARO UMBERTO 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 01;2;TARTAGLIONE ASSUNTA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 01;3;CRITELLI FRANCESCO 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 01;4;PARIS VALENTINA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 02;1;DE LUCA PIERO 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 02;2;SGAMBATO CAMILLA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 02;3;CENNAMI ACHILLE 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 02;4;CATERINO ELENA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 03;1;MINNITI DOMENICO DETTO MARCO
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 03;2;AVOSSA EVA 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 03;3;GIRO MARIO 
PARTITO DEMOCRATICO;CAMPANIA 2;CAMPANIA 2 - 03;4;FIORE GIUSEPPINA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;1;FRANCESCHINI DARIO 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;2;PINI GIUDITTA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;3;GOZI SANDRO 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;4;BELLUCCI GIORGIA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;1;FASSINO PIERO FRANCO RODOLFO 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;2;DE MICHELI PAOLA 
