Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;1;MONTEVECCHI MICHELA 
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;2;CROATTI MARCO DETTO CRUMA
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;3;BULGARELLI ELISA 
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;4;BRUNELLI DAVIDE 
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;1;LANZI GABRIELE 
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;2;MANTOVANI MARIA LAURA DETTA LALLA
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;3;BRANDOLI CLAUDIO 
MOVIMENTO 5 STELLE;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;4;CATELLANI LUISA 
MOVIMENTO 5 STELLE;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;1;PATUANELLI STEFANO 
MOVIMENTO 5 STELLE;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;2;BIANCHI ELENA 
MOVIMENTO 5 STELLE;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;3;VARNIER SANDRO 
MOVIMENTO 5 STELLE;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;4;BOTTEGHI MANUELA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 01;1;TAVERNA PAOLA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 01;2;PERILLI GIANLUCA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 01;3;SCOGNAMIGLIO VALERIA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 01;4;FRACASSI FRANCO 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 02;1;LANNUTTI ELIO 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 02;2;MAIORINO ALESSANDRA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 02;3;PRISCO ANIELLO 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 02;4;TRENTA ELISABETTA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 03;1;FATTORI ELENA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 03;2;DESSI' EMANUELE 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 03;3;PACIFICO MARINELLA 
MOVIMENTO 5 STELLE;LAZIO;LAZIO - 03;4;BONO GIANLUCA 
MOVIMENTO 5 STELLE;LIGURIA;LIGURIA - 01;1;MANTERO MATTEO 
MOVIMENTO 5 STELLE;LIGURIA;LIGURIA - 01;2;BOTTO ELENA 
MOVIMENTO 5 STELLE;LIGURIA;LIGURIA - 01;3;BOCCACCIO ANDREA 
MOVIMENTO 5 STELLE;LIGURIA;LIGURIA - 01;4;MARENCO DANIELA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 01;1;TONINELLI DANILO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 01;2;BALDINA SILVIA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 01;3;FALCHI FABIO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 01;4;FOLETTO CARLA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 02;1;CRIMI VITO CLAUDIO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 02;2;ZUCCA ROBERTA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 02;3;MACCABIANI GIAMPIETRO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 02;4;CICOLARI MARTA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 03;1;PARAGONE GIANLUIGI 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 03;2;MACCHI PAOLA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 03;3;BIANCO STEFANO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 03;4;RONCHETTI MIRIAM 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 04;1;NOCERINO SIMONA NUNZIA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 04;2;PESCO DANIELE 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 04;3;ALIPRANDI SILVIA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 04;4;CICERONE PAOLO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 05;1;RICCARDI ALESSANDRA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 05;2;CORBETTA GIANMARCO 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 05;3;PELLICONI MARA SILVIA 
MOVIMENTO 5 STELLE;LOMBARDIA;LOMBARDIA - 05;4;MARTON BRUNO 
MOVIMENTO 5 STELLE;MARCHE;MARCHE - 01;1;AGOSTINELLI DONATELLA 
MOVIMENTO 5 STELLE;MARCHE;MARCHE - 01;2;ROMAGNOLI SERGIO 
MOVIMENTO 5 STELLE;MARCHE;MARCHE - 01;3;ACCOTO ROSSELLA 
MOVIMENTO 5 STELLE;MARCHE;MARCHE - 01;4;BOTTIGLIERI FABIO 
MOVIMENTO 5 STELLE;MOLISE;MOLISE - 01;1;ORTIS FABRIZIO 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 01;1;PIRRO ELISA 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 01;2;AIROLA ALBERTO 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 01;3;MIGLIORE MARIA CRISTINA 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 01;4;SCIBONA MARCO 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 02;1;MARTELLI CARLO 
